File Directory,Author,Contribution, Percentage of Contribution
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\main\java\org\apache\commons\beanutils\converters\BooleanConverter.java,Gary D. Gregory <ggregory@apache.org>,16,8.16326530612245
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\main\java\org\apache\commons\beanutils\BeanUtilsBean.java,Gary D. Gregory <ggregory@apache.org>,187,12.584118438761777
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\main\java\org\apache\commons\beanutils\RowSetDynaClass.java,Gary D. Gregory <ggregory@apache.org>,12,18.75
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\test\java\org\apache\commons\beanutils\BasicDynaBeanTestCase.java,Gary D. Gregory <ggregory@apache.org>,192,16.842105263157894
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\main\java\org\apache\commons\beanutils\LazyDynaMap.java,Gary D. Gregory <ggregory@apache.org>,45,20.833333333333336
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\test\java\org\apache\commons\beanutils\converters\ArrayConverterTestCase.java,Gary D. Gregory <ggregory@apache.org>,120,23.575638506876228
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\test\java\org\apache\commons\beanutils\LazyDynaListTestCase.java,Gary D. Gregory <ggregory@apache.org>,110,18.456375838926174
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\test\java\org\apache\commons\beanutils\DynaPropertyUtilsTestCase.java,Gary D. Gregory <ggregory@apache.org>,792,20.127064803049556
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\main\java\org\apache\commons\beanutils\MethodUtils.java,Gary D. Gregory <ggregory@apache.org>,202,12.377450980392158
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\test\java\org\apache\commons\beanutils\DynaBeanUtilsTestCase.java,Gary D. Gregory <ggregory@apache.org>,206,12.72390364422483
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\test\java\org\apache\commons\beanutils\PropertyUtilsTestCase.java,Gary D. Gregory <ggregory@apache.org>,1257,19.50651769087523
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\main\java\org\apache\commons\beanutils\LazyDynaList.java,Gary D. Gregory <ggregory@apache.org>,54,10.909090909090908
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\main\java\org\apache\commons\beanutils\MappedPropertyDescriptor.java,Gary D. Gregory <ggregory@apache.org>,55,3.492063492063492
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\main\java\org\apache\commons\beanutils\converters\DateTimeConverter.java,Gary D. Gregory <ggregory@apache.org>,76,14.421252371916509
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\main\java\org\apache\commons\beanutils\BasicDynaClass.java,Gary D. Gregory <ggregory@apache.org>,14,10.294117647058822
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\test\java\org\apache\commons\beanutils\converters\BooleanConverterTestCase.java,Gary D. Gregory <ggregory@apache.org>,40,34.18803418803419
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\main\java\org\apache\commons\beanutils\ConstructorUtils.java,Gary D. Gregory <ggregory@apache.org>,75,18.115942028985508
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\main\java\org\apache\commons\beanutils\JDBCDynaClass.java,Gary D. Gregory <ggregory@apache.org>,42,19.444444444444446
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\main\java\org\apache\commons\beanutils\BeanMap.java,Gary D. Gregory <ggregory@apache.org>,207,22.234156820622985
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\main\java\org\apache\commons\beanutils\DefaultIntrospectionContext.java,Gary D. Gregory <ggregory@apache.org>,14,28.57142857142857
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\test\java\org\apache\commons\beanutils\BeanUtilsTestCase.java,Gary D. Gregory <ggregory@apache.org>,242,11.612284069097889
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\main\java\org\apache\commons\beanutils\BaseDynaBeanMapDecorator.java,Gary D. Gregory <ggregory@apache.org>,74,36.27450980392157
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\test\java\org\apache\commons\beanutils\BeanMapTestCase.java,Gary D. Gregory <ggregory@apache.org>,94,19.144602851323828
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\main\java\org\apache\commons\beanutils\converters\ArrayConverter.java,Gary D. Gregory <ggregory@apache.org>,49,12.9973474801061
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\main\java\org\apache\commons\beanutils\PropertyUtilsBean.java,Gary D. Gregory <ggregory@apache.org>,302,11.078503301540719
C:\SELEN\CS588\commons-beanutils\commons-beanutils\src\test\java\org\apache\commons\beanutils\bugs\Jira357TestCase.java,Gary D. Gregory <ggregory@apache.org>,24,21.62162162162162
